ID,City,State,Start_Time,Severity,Start_Lat,Start_Lng,Weather_Condition,Temperature(F),Precipitation(in),Visibility(mi),Humidity(%),Distance(mi)
A-2214380,Lehigh Acres,FL,2019-03-12 08:41:11,2,26.617234999999997,-81.675713,Clear,70.0,,10.0,87.0,0.0
A-2156393,Charlotte,NC,2019-04-09 10:38:03,2,35.1978,-80.882729,Cloudy,68.0,0.0,6.0,90.0,0.0
A-1787751,Greenwell Springs,LA,2019-10-30 13:37:04,2,30.60326,-90.996048,Mostly Cloudy,82.0,0.0,10.0,76.0,0.0
A-2342116,Glenside,PA,2019-01-17 07:46:13,2,40.116329,-75.145042,Clear,24.8,,10.0,59.0,0.0
A-1688988,Glendale Heights,IL,2019-12-02 10:18:24,2,41.93758,-88.084908,Partly Cloudy,32.0,0.0,10.0,73.0,0.0
A-7315926,San Diego,CA,2019-12-15 10:02:00,2,32.797194,-117.149355,Mostly Cloudy,60.0,0.0,10.0,57.0,0.0
A-7426294,Newburyport,MA,2019-03-12 17:04:01,2,42.815905,-70.915095,Clear,41.0,,10.0,36.0,0.064
A-1691190,Wesley Chapel,FL,2019-12-03 18:26:49,3,28.186234999999996,-82.38707,Fair,46.0,0.0,10.0,100.0,0.0
A-7435241,Denver,CO,2019-03-30 09:45:46,4,39.689836,-105.117124,Overcast,30.0,,10.0,79.0,0.52
A-1995127,Saint Paul,MN,2019-07-30 09:02:01,3,44.951534,-93.126465,Fair,64.0,0.0,10.0,63.0,1.4500000476837158
A-1906705,Houston,TX,2019-09-11 19:47:01,3,29.776779,-95.387337,Partly Cloudy,83.0,0.0,10.0,74.0,0.0
A-1879143,Greenville,SC,2019-09-25 16:29:37,2,34.846989,-82.457031,Fair,89.0,0.0,10.0,28.0,0.0
A-2169854,Carmel,NY,2019-04-16 11:55:34,2,41.448260999999995,-73.661041,Fair,54.0,0.0,10.0,29.0,0.0
A-2012684,Florence,SC,2019-08-09 05:47:03,2,34.14185,-79.733719,Fair,77.0,0.0,10.0,84.0,0.0
A-7331974,Santa Ana,CA,2019-10-07 17:09:00,2,33.755193,-117.851945,Fair,80.0,0.0,10.0,47.0,0.0
A-1772983,Saint Paul,MN,2019-10-23 08:20:02,3,45.057209,-93.187546,Partly Cloudy,37.0,0.0,10.0,81.0,0.0
A-2030748,Oklahoma City,OK,2019-06-03 18:15:59,3,35.564205,-97.452194,Fair,84.0,0.0,10.0,61.0,0.0
A-2151157,Nashville,TN,2019-04-05 08:16:26,3,36.191708,-86.783951,Cloudy,58.0,0.0,6.0,87.0,0.0
A-7334795,Long Beach,CA,2019-10-09 18:00:00,2,33.824257,-118.22393,Fair,67.0,0.0,10.0,66.0,0.0
A-1766146,Hazel Park,MI,2019-10-21 07:42:59,2,42.476357,-83.11144300000002,Mostly Cloudy,50.0,0.0,4.0,96.0,0.0
A-2343595,Antioch,TN,2019-01-17 17:00:57,2,36.049301,-86.599991,Overcast,46.9,0.0,6.0,90.0,0.0
A-2245860,Groveport,OH,2019-03-29 06:57:18,2,39.889584,-82.88297299999998,Rain,50.0,,10.0,97.0,0.0
A-2104655,Los Angeles,CA,2019-05-15 16:21:46,3,34.034058,-118.385742,Cloudy,64.0,0.0,10.0,72.0,0.0
A-1986268,Anaheim,CA,2019-07-24 09:55:49,3,33.826202,-117.926056,Fair,87.0,0.0,10.0,39.0,0.0
A-7357010,Hollister,CA,2019-10-25 23:25:00,2,36.931441,-121.476526,,59.0,0.0,10.0,39.0,0.0
A-2281364,Santa Fe Springs,CA,2019-02-12 04:36:22,3,33.941235,-118.09655,Clear,39.0,,10.0,73.0,0.0
A-7739293,Boca Raton,FL,2019-06-17 17:07:25,2,26.35685,-80.11933,T-Storm,75.0,0.12,2.0,90.0,0.765
A-2195888,Charlotte,NC,2019-04-01 08:39:47,3,35.31197,-80.758339,Fair,37.0,0.0,10.0,45.0,0.0
A-2315618,San Antonio,TX,2019-01-03 08:41:59,2,29.396074,-98.511299,Mostly Cloudy,41.0,,10.0,82.0,0.0
A-7295651,Union Pier,MI,2019-12-31 07:41:49,3,41.82838,-86.67278,Cloudy,28.0,0.0,10.0,80.0,0.225
A-2156192,Silver Spring,MD,2019-04-09 09:54:31,2,39.015888,-77.01664699999998,Fair,67.0,0.0,10.0,70.0,1.0700000524520874
A-7294955,Rock Springs,WY,2019-12-30 18:12:34,3,41.67916,-108.78635,Cloudy,7.0,0.0,10.0,87.0,0.463
A-2342676,Brandon,FL,2019-01-17 10:54:03,3,27.941462,-82.329224,Clear,62.6,,10.0,55.0,0.0
A-2235119,Rowland Heights,CA,2019-03-22 16:01:27,2,33.991859000000005,-117.888893,Clear,66.0,,10.0,52.0,0.0
A-2225733,Yonkers,NY,2019-03-19 05:09:29,2,40.988224,-73.83943199999999,Clear,30.0,,10.0,66.0,0.0
A-2174849,Tampa,FL,2019-04-18 16:39:04,3,28.002077000000003,-82.327721,Fair,88.0,0.0,10.0,46.0,0.0
A-1925908,Dallas,TX,2019-08-21 12:13:20,2,33.012245,-96.797211,Fair,93.0,0.0,10.0,44.0,0.0
A-1976665,Miami,FL,2019-07-19 06:51:08,2,25.882521,-80.166031,Fair,81.0,0.0,10.0,77.0,0.0
A-1791480,Holbrook,NY,2019-11-01 04:34:41,3,40.815071,-73.08698299999998,Cloudy / Windy,49.0,0.01,10.0,74.0,1.1599999666213991
A-7344769,Newhall,CA,2019-10-17 06:50:00,2,34.369728,-118.501122,Fair,61.0,0.0,10.0,72.0,0.0
A-1869767,Georgetown,TN,2019-09-20 08:22:58,2,35.287769,-84.946373,Partly Cloudy,65.0,0.0,10.0,73.0,0.0
A-7365134,Upper Lake,CA,2019-11-01 12:02:00,2,39.163195,-122.920908,,,,,,0.0
A-2193922,Columbia,SC,2019-04-29 05:56:50,2,34.079941,-80.977074,Fair,60.0,0.0,10.0,83.0,0.0
A-2297208,Baton Rouge,LA,2019-02-20 09:33:07,2,30.540529,-91.19101,Overcast,64.0,0.08,2.5,93.0,0.0
A-2291712,Raleigh,NC,2019-02-18 16:47:20,2,35.871674,-78.720589,Mostly Cloudy,57.0,,10.0,36.0,0.0
A-2296840,Minneapolis,MN,2019-02-20 12:52:19,2,44.983364,-93.400726,Light Snow,26.1,0.01,1.5,81.0,0.0
A-2314520,Bay Shore,NY,2019-01-03 06:52:34,2,40.7328,-73.262375,Overcast,42.1,,10.0,92.0,0.0
A-1967987,Murrells Inlet,SC,2019-07-15 17:15:57,2,33.585529,-79.074821,Fair,89.0,0.0,10.0,70.0,0.0
A-2109389,Los Angeles,CA,2019-05-16 22:34:05,2,34.107849,-118.187683,Fair,59.0,0.0,10.0,64.0,0.0
A-2241514,Charlotte,NC,2019-03-27 15:04:45,2,35.333511,-80.796791,Clear,55.4,,10.0,26.0,0.0
A-2002474,Castro Valley,CA,2019-08-02 02:35:46,2,37.690311,-122.084953,Cloudy,61.0,0.0,10.0,87.0,0.5
A-7448584,Philadelphia,PA,2019-02-17 02:26:11,4,39.96576,-75.18647,Clear,28.9,,10.0,56.0,1.376
A-1769790,Miami,FL,2019-10-22 07:26:36,2,25.686621,-80.373863,Fog,75.0,0.0,0.25,100.0,0.0
A-2345938,Metairie,LA,2019-01-18 13:24:02,3,29.996832,-90.140022,Mostly Cloudy,70.0,0.0,10.0,78.0,0.0
A-2148623,Nashville,TN,2019-04-04 08:00:37,2,36.204849,-86.753609,Cloudy,55.0,0.0,10.0,53.0,0.0
A-2157977,Marysville,WA,2019-04-09 08:56:10,3,48.042545,-122.180344,Cloudy,47.0,0.0,10.0,97.0,0.0
A-7716509,Portland,OR,2019-04-01 11:34:00,2,45.59226,-122.68275,Cloudy,57.0,0.0,10.0,55.0,0.215
A-2049787,Augusta,GA,2019-06-13 10:58:20,2,33.403557,-82.04073299999997,Mostly Cloudy,77.0,0.0,10.0,69.0,0.0
A-7771339,Anderson,CA,2019-08-09 15:26:03,2,40.45868,-122.29831,Mostly Cloudy,82.0,0.0,10.0,31.0,0.257
A-2052975,Soledad,CA,2019-06-14 01:16:01,2,36.44625900000001,-121.359703,Haze,61.0,0.0,6.0,78.0,0.0
A-7462108,Studio City,CA,2019-01-12 07:29:31,2,34.13577,-118.36032,Overcast,51.1,0.0,10.0,83.0,1.115
A-7429034,Pendleton,OR,2019-03-17 20:25:21,2,45.66251,-118.78268,Clear,35.1,,10.0,85.0,0.517
A-2057038,Detroit,MI,2019-06-18 06:57:44,2,42.41555,-83.219223,Cloudy,60.0,0.0,10.0,75.0,0.0
A-2044143,Cedar Springs,MI,2019-06-11 06:56:36,2,43.175556,-85.575653,Partly Cloudy,52.0,0.0,10.0,86.0,0.0
A-1979440,Phoenix,AZ,2019-07-21 11:53:04,3,33.483494,-112.113106,,,,,,0.0
A-1781412,Holly Springs,NC,2019-10-28 10:43:23,2,35.632179,-78.851753,Fair,65.0,0.0,10.0,68.0,0.0
A-2002813,Fresh Meadows,NY,2019-08-03 15:28:46,3,40.741959,-73.78273,Partly Cloudy,85.0,0.0,10.0,48.0,0.0
A-7751123,Moorpark,CA,2019-08-29 17:58:00,2,34.273433000000004,-118.931717,Fair,79.0,0.0,10.0,52.0,0.0
A-2255240,Cary,NC,2019-01-31 22:13:09,3,35.831554,-78.763657,Scattered Clouds,30.9,,10.0,47.0,0.0
A-1756315,Fresno,CA,2019-10-15 15:32:10,2,36.743649,-119.809891,Fair,82.0,0.0,9.0,21.0,0.0
A-2299500,Oak Brook,IL,2019-02-21 02:06:42,3,41.844840999999995,-87.95395699999996,Partly Cloudy,30.0,,10.0,66.0,0.0
A-7393942,Davis,CA,2019-09-22 06:27:30,2,38.561966,-121.646257,Fair,54.0,0.0,10.0,77.0,0.013
A-2367937,Sacramento,CA,2019-01-29 08:29:35,2,38.556149,-121.443192,Clear,51.1,,1.5,96.0,0.0
A-2180425,Dayton,OH,2019-04-22 04:04:36,2,39.79797,-84.200073,Fair,46.0,0.0,10.0,83.0,0.0
A-7418941,Heber City,UT,2019-09-14 15:00:00,2,40.45635,-111.47023,,,,,,0.039
A-2216014,Queens Village,NY,2019-03-13 08:26:46,2,40.711102,-73.728104,Partly Cloudy,35.1,,10.0,57.0,0.0
A-2051175,New York,NY,2019-06-14 13:27:04,2,40.845737,-73.931702,Cloudy,66.0,0.0,10.0,54.0,0.0
A-1932130,Sayville,NY,2019-08-26 17:09:25,2,40.747021,-73.069611,Mostly Cloudy,71.0,0.0,10.0,59.0,0.0
A-1916610,Charlotte,NC,2019-09-17 13:40:11,2,35.189289,-80.750031,Mostly Cloudy,93.0,0.0,10.0,41.0,0.0
A-1727343,Tulsa,OK,2019-12-19 10:11:40,2,36.078892,-95.957977,Fair,43.0,0.0,10.0,47.0,0.0
A-1956112,San Antonio,TX,2019-07-08 14:41:34,2,29.352010999999997,-98.431412,Fair,94.0,0.0,10.0,41.0,0.0
A-1989825,Fort Worth,TX,2019-07-26 11:17:54,3,32.780914,-97.320648,Fair,81.0,0.0,10.0,49.0,0.0
A-2001231,Hollywood,FL,2019-08-02 15:49:15,3,26.033615,-80.164375,Mostly Cloudy,81.0,0.0,10.0,72.0,0.0
A-2174388,Winchester,VA,2019-04-18 07:36:41,2,39.162464,-78.157043,Partly Cloudy,48.0,0.0,10.0,93.0,0.0
A-1995521,Franklin,TN,2019-07-30 07:53:22,2,35.913219,-86.820351,Mostly Cloudy,76.0,0.0,10.0,76.0,0.0
A-7717888,Huntsville,AL,2019-05-04 23:07:14,2,34.686889,-86.57925999999998,Rain,64.0,0.08,1.0,96.0,0.273
A-2007964,Houston,TX,2019-08-06 15:49:46,2,29.68947,-95.553871,Mostly Cloudy,92.0,0.0,10.0,54.0,0.0
A-2184045,Houston,TX,2019-04-23 11:00:49,2,29.70055,-95.402008,Light Rain,72.0,0.0,10.0,84.0,0.0
A-1933008,Bamberg,SC,2019-08-26 04:04:06,2,33.31171,-81.027351,Cloudy,70.0,0.0,10.0,68.0,0.0
A-2309883,Fernandina Beach,FL,2019-02-27 19:48:11,2,30.6189,-81.52046999999997,Rain,62.8,0.23,4.0,98.0,0.0
A-1816879,Johnson City,TN,2019-11-13 14:44:30,2,36.307198,-82.34159100000002,Partly Cloudy,41.0,0.0,10.0,47.0,0.0
A-2208465,Columbus,OH,2019-03-08 06:57:48,2,40.05527100000001,-82.86367,Overcast,28.0,,10.0,63.0,0.0
A-1929729,Raleigh,NC,2019-08-23 09:06:43,2,35.71693,-78.655441,Mostly Cloudy,76.0,0.0,10.0,87.0,0.0
A-2362744,Seattle,WA,2019-01-27 19:14:45,3,47.477901,-122.271202,Overcast,43.0,,10.0,82.0,0.5
A-1741070,Oklahoma City,OK,2019-10-08 16:19:26,2,35.420769,-97.441277,Fair,75.0,0.0,10.0,33.0,0.0
A-2073857,Austin,TX,2019-06-26 19:02:30,2,30.379579999999997,-97.687714,Fair,85.0,0.0,10.0,65.0,0.0
A-2182930,Raleigh,NC,2019-04-23 15:48:05,2,35.844509,-78.579964,Mostly Cloudy,81.0,0.0,9.0,39.0,0.0
A-2134250,Mobile,AL,2019-04-30 15:53:34,2,30.70509,-88.144302,Mostly Cloudy,83.0,0.0,10.0,60.0,0.0
A-2204560,Bethany,LA,2019-03-06 06:21:12,2,32.375278,-94.000389,Partly Cloudy,27.0,,10.0,75.0,0.0
A-1720646,Massapequa,NY,2019-12-17 17:37:21,2,40.705791,-73.453232,Light Rain,34.0,0.03,7.0,89.0,0.0
A-7443778,Seaside,OR,2019-02-09 16:32:05,2,45.785227,-123.44181299999998,Clear,35.1,,10.0,78.0,0.562
A-1991114,Oklahoma City,OK,2019-07-27 12:36:43,2,35.594494,-97.585037,Fair,89.0,0.0,10.0,36.0,0.0
A-2278760,Albany,NY,2019-02-12 12:12:25,3,42.702296999999994,-73.849915,Heavy Snow,16.0,0.03,0.2,77.0,0.0
A-7416646,South San Francisco,CA,2019-09-12 19:34:00,2,37.638051,-122.404904,Fair,76.0,0.0,10.0,37.0,0.0
A-2127293,Edmond,OK,2019-05-28 19:58:33,2,35.634392,-97.623543,Fair,79.0,0.0,10.0,77.0,0.0
A-2040571,Miami,FL,2019-06-08 15:06:33,2,25.65517,-80.328873,Heavy T-Storm,76.0,0.3,0.5,,0.0
A-7423112,Tulare,CA,2019-03-05 12:31:31,2,36.20127,-119.32844,Overcast,57.0,0.0,10.0,83.0,0.627
A-2247431,Gardnerville,NV,2019-03-29 09:55:56,2,38.910461,-119.77919,Clear,30.0,,10.0,79.0,0.0
A-2015290,Rancho Cucamonga,CA,2019-08-08 17:49:15,2,34.13625,-117.558647,Fair,87.0,0.0,10.0,35.0,0.0
A-1916892,Saint Petersburg,FL,2019-09-17 08:52:42,2,27.744760999999997,-82.658287,Fair,84.0,0.0,10.0,69.0,0.0
A-1952321,Cookeville,TN,2019-07-05 08:42:15,3,36.131221999999994,-85.357628,Fair,79.0,0.0,10.0,78.0,0.0
A-1987099,Largo,FL,2019-07-25 07:23:23,2,27.916439,-82.75212900000002,Heavy Rain,73.0,0.19,2.0,96.0,0.0
A-7420685,Ocala,FL,2019-09-16 15:11:17,3,29.241945,-82.189851,Fair,91.0,0.0,10.0,53.0,0.54
A-2237980,Dallas,TX,2019-03-25 08:20:46,2,32.996311,-96.859818,Clear,55.4,,10.0,72.0,0.0
A-7409847,Oakland,CA,2019-09-06 07:24:10,2,37.77566,-122.23456000000002,Cloudy,62.0,0.0,5.0,80.0,0.345
A-7444959,Hood River,OR,2019-02-11 16:21:19,2,45.71194000000001,-121.5475,Light Rain,38.0,0.03,7.0,89.0,0.227
A-1790261,Oklahoma City,OK,2019-10-31 07:11:03,2,35.594639,-97.522568,Fair,25.0,0.0,10.0,75.0,0.0
A-2208064,Los Angeles,CA,2019-03-07 21:51:54,3,34.036823,-118.377548,Mostly Cloudy,51.1,,10.0,74.0,0.0
A-1711987,Shakopee,MN,2019-12-12 19:39:51,2,44.781963,-93.469521,Cloudy,17.0,0.0,9.0,74.0,0.0
A-2368545,Hackettstown,NJ,2019-01-30 10:22:39,2,40.856541,-74.835426,,,,,,0.0
A-1837207,Riverside,CA,2019-11-21 15:04:03,2,33.898289,-117.47628,Mostly Cloudy,64.0,0.0,10.0,48.0,0.6100000143051147
A-1765332,Montebello,CA,2019-10-19 15:38:57,2,34.03326,-118.130028,Fair,80.0,0.0,10.0,40.0,0.0
A-2000413,Los Angeles,CA,2019-08-01 08:48:09,3,34.025551,-118.20638999999998,Haze,74.0,0.0,6.0,68.0,0.0
A-2097029,Tustin,CA,2019-05-11 05:05:01,3,33.725590000000004,-117.804131,Mostly Cloudy,60.0,0.0,10.0,78.0,0.0
A-1796095,Charlotte,NC,2019-11-04 13:20:05,2,35.055161,-80.847008,Fair,59.0,0.0,10.0,41.0,0.0
A-7361951,Glide,OR,2019-10-30 15:27:11,2,43.33309000000001,-122.78254,Fair,58.0,0.0,10.0,24.0,0.812
A-1790421,Baton Rouge,LA,2019-10-31 19:40:01,2,30.47105,-91.12397,Fair,47.0,0.0,10.0,61.0,0.0
A-1831289,Portland,OR,2019-11-19 06:12:02,2,45.506039,-122.537666,Cloudy,51.0,0.0,10.0,89.0,0.0
A-1935500,Lexington,SC,2019-08-27 20:41:01,3,33.97805,-81.194801,Cloudy,77.0,0.01,10.0,88.0,5.949999809265138
A-1702155,Castaic,CA,2019-12-08 09:57:04,3,34.452618,-118.615135,Cloudy,59.0,0.0,10.0,87.0,0.0
A-2335940,Albuquerque,NM,2019-01-14 07:28:28,2,35.072781,-106.552597,Overcast,34.0,0.0,10.0,89.0,0.0
A-1740260,West Palm Beach,FL,2019-10-08 08:32:12,3,26.705763,-80.075211,Mostly Cloudy,77.0,0.0,10.0,94.0,0.0
A-2143049,Atlanta,GA,2019-04-02 11:32:45,2,33.770053999999995,-84.390091,Mostly Cloudy,53.0,0.0,10.0,38.0,0.0
A-1983526,Houston,TX,2019-07-23 13:07:35,2,29.870035,-95.38485,Cloudy,83.0,0.0,10.0,67.0,0.0
A-1994769,West Palm Beach,FL,2019-07-30 08:24:12,2,26.732429999999997,-80.110062,Partly Cloudy,83.0,0.0,10.0,74.0,0.0
A-2276629,Charlotte,NC,2019-02-11 15:14:34,2,35.202011,-80.844749,Overcast,53.1,,10.0,86.0,0.0
A-1949714,Elk River,MN,2019-07-03 06:23:46,2,45.25573,-93.519417,Fair,65.0,0.0,10.0,92.0,2.1600000858306885
A-1736610,Portland,OR,2019-10-06 13:36:54,3,45.396664,-122.746864,Fair,65.0,0.0,10.0,52.0,0.0
A-1794163,Stony Point,NY,2019-11-02 13:16:46,2,41.234623,-74.034065,Fair,47.0,0.0,10.0,50.0,0.0
A-2226313,Hollywood,FL,2019-03-19 09:20:18,3,26.033539,-80.16436800000002,Light Rain,68.0,0.18,1.8,90.0,0.0
A-1957531,Henrico,VA,2019-07-09 07:34:09,2,37.620819,-77.476105,Fair,71.0,0.0,10.0,78.0,0.0
A-1823379,Decatur,GA,2019-11-15 16:39:49,3,33.699409,-84.25574499999998,Light Rain,45.0,0.01,3.0,90.0,0.0
A-2021882,Baltimore,MD,2019-08-14 15:37:31,3,39.315018,-76.537575,Mostly Cloudy,82.0,0.0,10.0,74.0,0.0
A-7325180,Brisbane,CA,2019-12-22 00:12:00,2,37.70432,-122.39423,Partly Cloudy / Windy,57.0,0.0,10.0,57.0,0.008
A-2051106,Ronkonkoma,NY,2019-06-14 07:43:16,2,40.81287,-73.114708,Fair,63.0,0.0,10.0,75.0,2.549999952316284
A-1714004,Raleigh,NC,2019-12-13 06:51:23,2,35.739399,-78.56868,Light Rain,36.0,0.04,9.0,89.0,0.0
A-2006000,Sedona,AZ,2019-08-05 20:26:43,3,34.764244,-111.656647,Mostly Cloudy,78.0,0.0,10.0,39.0,0.0
A-2233568,Orlando,FL,2019-03-22 08:57:05,2,28.564039,-81.364449,Clear,60.1,,10.0,55.0,0.0
A-1957363,Cincinnati,OH,2019-07-09 08:56:09,3,39.215206,-84.676369,Fair,76.0,0.0,10.0,56.0,0.0
A-2331932,Dallas,TX,2019-01-11 11:39:53,2,32.894489,-96.711678,Overcast,50.0,,10.0,68.0,0.0
A-1839302,Tulsa,OK,2019-11-22 08:02:06,2,36.089893,-95.886551,Cloudy,40.0,0.0,10.0,86.0,0.0
A-1939564,Roslyn Heights,NY,2019-08-29 09:38:05,2,40.78492,-73.647369,Fair,75.0,0.0,10.0,53.0,2.650000095367432
A-2142899,Bunnell,FL,2019-04-02 12:23:30,2,29.49708,-81.26505300000002,Mostly Cloudy,68.0,,7.0,94.0,0.0
A-2332508,Riverside,CA,2019-01-10 22:22:47,3,33.916843,-117.287445,Clear,41.4,,3.0,100.0,0.0
A-7461289,Cameron,NC,2019-01-11 09:41:35,3,35.32223,-79.31036999999998,Clear,30.9,,10.0,57.0,0.0
A-2034411,Lakeland,FL,2019-06-05 05:09:08,3,28.05495100000001,-81.95321700000002,Fair,73.0,0.0,10.0,94.0,0.0
A-1744006,Houston,TX,2019-10-09 15:49:49,2,29.705545,-95.48465,Mostly Cloudy,87.0,0.0,10.0,57.0,0.0
A-1952996,Austin,TX,2019-07-05 15:38:32,2,30.22574,-97.773903,Fair,96.0,0.0,10.0,44.0,0.0
A-1756991,Cincinnati,OH,2019-10-16 04:51:03,2,39.201458,-84.374039,Light Rain,52.0,0.05,7.0,86.0,2.6700000762939453
A-2027337,Columbia,SC,2019-08-16 16:35:44,3,34.027473,-81.10296600000002,Partly Cloudy,94.0,0.0,10.0,46.0,0.0
A-1727812,Olympia,WA,2019-12-19 16:22:53,3,47.016899,-122.905823,Light Rain,49.0,0.06,6.0,90.0,0.0
A-1728284,Lynnfield,MA,2019-12-20 08:29:29,3,42.52541,-71.06482700000002,Fair,16.0,0.0,10.0,57.0,0.0
A-1749721,Vista,CA,2019-10-11 07:45:21,2,33.244999,-117.227119,Fair,64.0,0.0,10.0,16.0,0.0
A-1873910,Lehigh Acres,FL,2019-09-23 08:04:39,2,26.591391,-81.697342,Fair,70.0,0.0,10.0,87.0,0.0
A-2315289,Cartersville,GA,2019-01-03 16:24:32,3,34.206154,-84.761177,Mostly Cloudy,53.1,,10.0,93.0,0.0
A-7287345,Fresno,CA,2019-12-23 20:48:00,2,36.755104,-119.758157,Cloudy,48.0,0.0,3.0,93.0,0.0
A-1848307,Minnesota City,MN,2019-11-27 06:55:21,2,44.119598,-91.768883,Light Snow,34.0,0.0,7.0,100.0,0.0
A-2209330,Denton,TX,2019-03-08 15:29:51,2,33.130081,-97.043701,Clear,77.0,,10.0,40.0,0.0
A-7749028,Rocklin,CA,2019-08-28 17:02:00,2,38.806763,-121.200759,Fair,93.0,0.0,10.0,26.0,0.0
A-1814844,Kansas City,MO,2019-11-12 09:30:55,3,39.047852,-94.457977,Fair,16.0,0.0,10.0,52.0,0.0
A-2150772,San Antonio,TX,2019-04-05 20:53:43,3,29.434605,-98.645416,Partly Cloudy,75.0,0.0,10.0,67.0,0.0
A-7357454,San Fernando,CA,2019-10-26 19:11:00,2,34.282624,-118.421136,Fair,75.0,,10.0,19.0,0.0
